date;time;subject;blocknum;blockcode;trialcode;trialnum;values.situation;values.market_growthnumber;values.market_growth;values.market_concentrationnumber;values.market_concentration;values.market_sharenumber;values.market_share;values.relative_costnumber;values.relative_cost;values.relative_qualitynumber;values.relative_quality;values.standardizationnumber;values.standardization;response;latency
42216;17:35:13;1;3;expé;stimulus;1;Situation n°1;5;Croissance du marché: Forte;5;Concentration du marché: Forte;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;4;49887
42216;17:35:13;1;3;expé;stimulus;2;Situation n°2;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;2;Coût relatif de votre offre: Plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;5;59459
42216;17:35:13;1;3;expé;stimulus;3;Situation n°3;3;Croissance du marché: Moyenne;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;2;16594
42216;17:35:13;1;3;expé;stimulus;4;Situation n°4;2;Croissance du marché: Plutôt faible;4;Concentration du marché: Plutôt forte;2;Votre part de marché (rang): 2ème;2;Coût relatif de votre offre: Plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;7;38902
42216;17:35:13;1;3;expé;stimulus;5;Situation n°5;1;Croissance du marché: Faible;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;3;188095
42216;17:35:13;1;3;expé;stimulus;6;Situation n°6;3;Croissance du marché: Moyenne;1;Concentration du marché: Faible;1;Votre part de marché (rang): 1er;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;3;22754
42216;17:35:13;1;3;expé;stimulus;7;Situation n°7;2;Croissance du marché: Plutôt faible;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;5;65083
42216;17:35:13;1;3;expé;stimulus;8;Situation n°8;3;Croissance du marché: Moyenne;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;1;Produits standardisés: Oui;7;12905
42216;17:35:13;1;3;expé;stimulus;9;Situation n°9;3;Croissance du marché: Moyenne;2;Concentration du marché: Plutôt faible;1;Votre part de marché (rang): 1er;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;1;Produits standardisés: Oui;7;37845
42216;17:35:13;1;3;expé;stimulus;10;Situation n°10;4;Croissance du marché: Plutôt forte;5;Concentration du marché: Forte;1;Votre part de marché (rang): 1er;2;Coût relatif de votre offre: Plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;6;91265
42216;17:35:13;1;3;expé;stimulus;11;Situation n°11;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;2;Produits standardisés: Non;4;23670
42216;17:35:13;1;3;expé;stimulus;12;Situation n°12;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;4;99292
42216;17:35:13;1;3;expé;stimulus;13;Situation n°13;3;Croissance du marché: Moyenne;1;Concentration du marché: Faible;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;1;Produits standardisés: Oui;2;27027
42216;17:35:13;1;3;expé;stimulus;14;Situation n°14;4;Croissance du marché: Plutôt forte;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;4;7957
42216;17:35:13;1;3;expé;stimulus;15;Situation n°15;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;1;Produits standardisés: Oui;2;45595
42316;10:32:02;1;1;expé;stimulus;1;Situation n°16;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;5;26484
42316;10:32:02;1;1;expé;stimulus;2;Situation n°17;4;Croissance du marché: Plutôt forte;2;Concentration du marché: Plutôt faible;5;Votre part de marché (rang): 5ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;5;55987
42316;10:32:02;1;1;expé;stimulus;3;Situation n°18;5;Croissance du marché: Forte;1;Concentration du marché: Faible;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;6;16436
42316;10:32:02;1;1;expé;stimulus;4;Situation n°19;4;Croissance du marché: Plutôt forte;5;Concentration du marché: Forte;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;7;13926
42316;10:32:02;1;1;expé;stimulus;5;Situation n°20;4;Croissance du marché: Plutôt forte;3;Concentration du marché: Moyenne;5;Votre part de marché (rang): 5ème;2;Coût relatif de votre offre: Plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;4;12651
42316;10:32:02;1;1;expé;stimulus;6;Situation n°21;3;Croissance du marché: Moyenne;3;Concentration du marché: Moyenne;5;Votre part de marché (rang): 5ème;2;Coût relatif de votre offre: Plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;4;41459
42316;10:32:02;1;1;expé;stimulus;7;Situation n°22;2;Croissance du marché: Plutôt faible;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;5;64893
42316;10:32:02;1;1;expé;stimulus;8;Situation n°23;3;Croissance du marché: Moyenne;1;Concentration du marché: Faible;2;Votre part de marché (rang): 2ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;1;Produits standardisés: Oui;3;18973
42316;10:32:02;1;1;expé;stimulus;9;Situation n°24;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;1;Produits standardisés: Oui;1;13532
42316;10:32:02;1;1;expé;stimulus;10;Situation n°25;5;Croissance du marché: Forte;4;Concentration du marché: Plutôt forte;5;Votre part de marché (rang): 5ème;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;7;24871
42316;10:32:02;1;1;expé;stimulus;11;Situation n°26;3;Croissance du marché: Moyenne;1;Concentration du marché: Faible;1;Votre part de marché (rang): 1er;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;5;9118
42316;10:32:02;1;1;expé;stimulus;12;Situation n°27;4;Croissance du marché: Plutôt forte;3;Concentration du marché: Moyenne;4;Votre part de marché (rang): 4ème;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;6;89610
42316;10:32:02;1;1;expé;stimulus;13;Situation n°28;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;1;Votre part de marché (rang): 1er;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;1;99807
42316;10:32:02;1;1;expé;stimulus;14;Situation n°29;1;Croissance du marché: Faible;2;Concentration du marché: Plutôt faible;2;Votre part de marché (rang): 2ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;3;23792
42316;10:32:02;1;1;expé;stimulus;15;Situation n°30;5;Croissance du marché: Forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;5;14797
42316;16:59:41;1;1;expé;stimulus;1;Situation n°31;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;4;12276
42316;16:59:41;1;1;expé;stimulus;2;Situation n°32;5;Croissance du marché: Forte;4;Concentration du marché: Plutôt forte;4;Votre part de marché (rang): 4ème;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;2;Produits standardisés: Non;6;10835
42316;16:59:41;1;1;expé;stimulus;3;Situation n°33;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;4;Votre part de marché (rang): 4ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;4;9082
42316;16:59:41;1;1;expé;stimulus;4;Situation n°34;1;Croissance du marché: Faible;3;Concentration du marché: Moyenne;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;1;Produits standardisés: Oui;5;74121
42316;16:59:41;1;1;expé;stimulus;5;Situation n°35;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;2;Produits standardisés: Non;2;9948
42316;16:59:41;1;1;expé;stimulus;6;Situation n°36;4;Croissance du marché: Plutôt forte;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;1;Produits standardisés: Oui;5;13165
42316;16:59:41;1;1;expé;stimulus;7;Situation n°37;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;2;Produits standardisés: Non;4;62635
42316;16:59:41;1;1;expé;stimulus;8;Situation n°38;3;Croissance du marché: Moyenne;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;4;8275
42316;16:59:41;1;1;expé;stimulus;9;Situation n°39;2;Croissance du marché: Plutôt faible;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;1;10858
42316;16:59:41;1;1;expé;stimulus;10;Situation n°40;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;2;Produits standardisés: Non;4;49488
42316;16:59:41;1;1;expé;stimulus;11;Situation n°41;1;Croissance du marché: Faible;4;Concentration du marché: Plutôt forte;2;Votre part de marché (rang): 2ème;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;3;6527
42316;16:59:41;1;1;expé;stimulus;12;Situation n°42;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;4;6933
42316;16:59:41;1;1;expé;stimulus;13;Situation n°43;3;Croissance du marché: Moyenne;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;4;7460
42316;16:59:41;1;1;expé;stimulus;14;Situation n°44;3;Croissance du marché: Moyenne;3;Concentration du marché: Moyenne;5;Votre part de marché (rang): 5ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;7;10611
42316;16:59:41;1;1;expé;stimulus;15;Situation n°45;1;Croissance du marché: Faible;2;Concentration du marché: Plutôt faible;4;Votre part de marché (rang): 4ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;3;32041
42316;16:59:41;1;1;expé;stimulus;16;Situation n°46;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;7;26838
42316;16:59:41;1;1;expé;stimulus;17;Situation n°47;2;Croissance du marché: Plutôt faible;5;Concentration du marché: Forte;2;Votre part de marché (rang): 2ème;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;1;Produits standardisés: Oui;2;14109
42316;16:59:41;1;1;expé;stimulus;18;Situation n°48;1;Croissance du marché: Faible;1;Concentration du marché: Faible;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;3;7245
42316;16:59:41;1;1;expé;stimulus;19;Situation n°49;4;Croissance du marché: Plutôt forte;2;Concentration du marché: Plutôt faible;1;Votre part de marché (rang): 1er;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;4;12025
42316;16:59:41;1;1;expé;stimulus;20;Situation n°50;1;Croissance du marché: Faible;1;Concentration du marché: Faible;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;1;Produits standardisés: Oui;5;8947
